Id,Time,RPM_SET_POINT,PowerCenter_RPM,HP_ACC_Press_PT18_Bar,Desalination_Press_PT20_Bar,Brine_Out_Press_PT13_Bar,LP_ACC_Press_PT17_Bar,BMS_CURRENT_A,CT_Current_Controller_A,Roboteq_Current_A,Roboteq_Voltage_V,BMS_Voltage,BMS_SOC_percent,VHP_Manifold_Pressure_PT21,VertDisZLA1,VertDisZLA2,VertDisZLA3,theta1,theta2,theta3,LP_Cartridge_Filter_FM01_m3h,FW_OUT_FM02_m3h,BRINE_OUT_FM03_m3h,PowerCenter_Out_FM04_m3h,PowerCenter_In_FM05_m3h,FW_TK_PT14_bar,Booster_Suction_PT15_bar,Booster_Discharge_PT16_bar,PowerCenter_Out_PT19_bar,ROT1_deg,ROT2_deg,ROT3_deg,MRU_Surge_m,MRU_Sway_m,MRU_Heave_m,MRU_Yaw_deg2,MRU_Pitch_deg,MRU_Roll_deg
14,19/04/2024 7:47:20,0,,0.0625,0,1.00875,6.080625,0,2.025024,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02658966,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.94875,70.27312,76.88813,-0.4782065,0.07658745,0.03604152,32.58316,-87.105,165.6572
15,19/04/2024 7:47:21,0,,0,0,1.00875,6.08875,0,-0.2999573,,,0,0,5.125,83.10778,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.88126,70.27312,76.88813,-0.5212972,0.07090366,-0.02897505,33.42075,-86.76698,164.2807
16,19/04/2024 7:47:23,0,,0,0,1.00125,6.08875,0,-1.724976,,,0,0,5.09375,83.10778,0,26.07731,0.004733468,-0.02539484,0.02128162,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.94875,70.27312,76.88813,-0.5385439,0.1203601,0.009146516,30.79024,-86.78689,166.4531
17,19/04/2024 7:47:24,0,,0,0,1.00875,6.08875,0,2.025024,,,0,0,5.09375,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.94875,70.27312,76.88813,-0.5542757,0.1497364,-0.00403038,29.58324,-87.08912,167.2502
18,19/04/2024 7:47:26,0,,0,0,1.00125,6.08875,0,2.475006,,,0,0,5.09375,79.98159,0,26.07731,0.004733468,-0.02539484,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.88126,70.27312,76.88813,-0.6136637,0.1742419,-0.09620338,26.76729,-87.34345,169.776
19,19/04/2024 7:47:27,0,,0.0625,0,1.00875,6.080625,0,-0.7874756,,,0,0,5.09375,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.27312,76.88813,-0.6049131,0.1848263,-0.01120061,23.03699,-87.73888,173.2389
20,19/04/2024 7:47:29,0,,0,0,1.00875,6.08875,0,-0.2999573,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.94875,70.27312,76.88813,-0.5339216,0.153808,0.1266298,20.3824,-88.3656,175.7257
21,19/04/2024 7:47:31,0,,0,0,1.00875,6.080625,0,2.475006,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.94875,70.27312,76.88813,-0.510112,0.07022476,0.07855737,27.76817,-88.70138,167.998
22,19/04/2024 7:47:32,0,,0,0,1.00875,6.080625,0,-0.3374939,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02658966,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.88126,70.27312,76.88813,-0.553831,0.02111922,-0.01990036,36.24866,-88.58701,159.655
23,19/04/2024 7:47:33,0,,0,0,1.00125,6.09625,0,-1.724976,,,0,0,5.125,83.10778,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.88126,70.20563,76.88813,-0.5961559,0.04672924,-0.05961826,40.76416,-88.45636,154.4788
