Id,Time,RPM_SET_POINT,PowerCenter_RPM,HP_ACC_Press_PT18_Bar,Desalination_Press_PT20_Bar,Brine_Out_Press_PT13_Bar,LP_ACC_Press_PT17_Bar,BMS_CURRENT_A,CT_Current_Controller_A,Roboteq_Current_A,Roboteq_Voltage_V,BMS_Voltage,BMS_SOC_percent,VHP_Manifold_Pressure_PT21,VertDisZLA1,VertDisZLA2,VertDisZLA3,theta1,theta2,theta3,LP_Cartridge_Filter_FM01_m3h,FW_OUT_FM02_m3h,BRINE_OUT_FM03_m3h,PowerCenter_Out_FM04_m3h,PowerCenter_In_FM05_m3h,FW_TK_PT14_bar,Booster_Suction_PT15_bar,Booster_Discharge_PT16_bar,PowerCenter_Out_PT19_bar,ROT1_deg,ROT2_deg,ROT3_deg,MRU_Surge_m,MRU_Sway_m,MRU_Heave_m,MRU_Yaw_deg2,MRU_Pitch_deg,MRU_Roll_deg
1823,18/04/2024 12:07:24,750.0,748.0,4.359375,53.4375,3.535625,6.244375,0.0,-1.199951,50.1,49.1,0.0,0.0,5.1875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,1.800313,0.80135,1.01475,2.187,2.214,-20.47875,1.014375,6.363125,55.0,84.94875,70.20563,76.88813,0.1501123,-0.03077359,0.01006866,26.82213,-88.6173,127.302
1824,18/04/2024 12:07:25,750.0,750.0,4.359375,53.25,3.535625,6.501875,0.0,4.425018,50.6,48.9,0.0,0.0,5.28125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,1.938125,0.80135,1.00815,2.187,2.214,-20.47875,0.795625,6.8075,54.60938,84.94875,70.20563,76.88813,0.06917562,-0.004090147,0.001963997,15.48489,-88.58511,138.933
1825,18/04/2024 12:07:26,750.0,753.0,5.34375,53.25,3.5275,6.08875,0.0,-0.2624817,48.6,49.1,0.0,0.0,5.0,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.156875,0.80135,1.00815,2.187,2.214,-20.47875,1.045625,6.19875,55.57813,84.94875,70.20563,76.88813,-0.02855638,-0.002650493,0.01542183,6.754376,-88.21559,147.4192
1826,18/04/2024 12:07:27,750.0,750.0,5.34375,53.25,3.5275,6.08875,0.0,-0.2624817,47.5,49.4,0.0,0.0,5.0,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.156875,0.80135,1.00815,2.187,2.214,-20.47875,1.045625,6.19875,55.57813,84.94875,70.20563,76.88813,-0.02855638,-0.002650493,0.01542183,6.754376,-88.21559,147.4192
1827,18/04/2024 12:07:28,750.0,753.0,5.140625,53.25,3.535625,6.595,0.0,0.6750183,46.5,49.3,0.0,0.0,5.34375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.156875,0.7942,1.01475,2.17725,2.214,-20.47875,0.834375,6.83125,54.60938,84.94875,70.20563,76.88813,-0.106524,0.0259985,-0.02235839,350.107,-87.62092,163.4077
1828,18/04/2024 12:07:29,750.0,748.0,5.140625,53.25,3.535625,6.595,0.0,0.6750183,47.4,49.4,0.0,0.0,5.34375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.156875,0.7942,1.01475,2.17725,2.214,-20.47875,0.834375,6.83125,54.60938,84.94875,70.20563,76.88813,-0.106524,0.0259985,-0.02235839,350.107,-87.62092,163.4077
1829,18/04/2024 12:07:30,750.0,750.0,4.359375,53.4375,3.535625,6.63375,0.0,1.612549,46.5,49.1,0.0,0.0,5.34375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.211562,0.80135,1.01475,2.17725,2.214,-20.47875,0.826875,6.784375,54.79688,84.94875,70.20563,76.88813,-0.04938064,0.01690748,0.06164485,342.9273,-87.1671,170.965
1830,18/04/2024 12:07:31,750.0,748.0,4.5625,53.25,3.535625,6.314375,0.0,-0.2624817,50.5,49.1,0.0,0.0,5.28125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.237813,0.80135,1.01475,2.187,2.214,-20.47875,1.06875,6.589375,54.60938,84.88126,70.20563,76.88813,0.06390758,0.01027671,0.04473174,338.9308,-87.40347,174.5798
1831,18/04/2024 12:07:32,750.0,746.0,4.5625,53.25,3.535625,6.314375,0.0,-0.2624817,48.5,49.1,0.0,0.0,5.28125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.237813,0.80135,1.01475,2.187,2.214,-20.47875,1.06875,6.589375,54.60938,84.88126,70.20563,76.88813,0.06390758,0.01027671,0.04473174,338.9308,-87.40347,174.5798
1832,18/04/2024 12:07:33,750.0,750.0,4.359375,53.25,3.535625,6.213125,0.0,3.487518,48.2,49.1,0.0,0.0,5.125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.237813,0.80135,1.01475,2.187,2.214,-20.47875,1.084375,6.37875,55.39063,84.94875,70.20563,76.88813,0.0571223,0.009101565,-0.05133767,336.6644,-87.63199,176.4075
1833,18/04/2024 12:07:34,750.0,750.0,4.75,53.64063,3.5275,6.649375,0.0,2.550018,47.8,49.2,0.0,0.0,5.34375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.07375,0.80135,1.01475,2.187,2.214,-20.47875,0.905,6.995,54.60938,84.94875,70.20563,76.88813,-0.03716567,0.03342937,-0.04680361,333.6103,-87.67478,179.1601
1834,18/04/2024 12:07:35,750.0,753.0,4.75,53.64063,3.5275,6.649375,0.0,2.550018,49.0,49.0,0.0,0.0,5.34375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.07375,0.80135,1.01475,2.187,2.214,-20.47875,0.905,6.995,54.60938,84.94875,70.20563,76.88813,-0.03716567,0.03342937,-0.04680361,333.6103,-87.67478,179.1601
1835,18/04/2024 12:07:36,750.0,750.0,4.171875,53.4375,3.535625,6.283125,0.0,3.487518,49.4,49.0,0.0,0.0,5.3125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.128438,0.80135,1.00815,2.187,2.2155,-20.47875,1.1,6.456875,54.79688,84.94875,70.20563,76.88813,-0.1056654,0.02436732,-0.0003311978,335.1726,-87.58478,177.4292
1836,18/04/2024 12:07:37,750.0,753.0,4.171875,53.4375,3.535625,6.283125,0.0,3.487518,47.6,49.1,0.0,0.0,5.3125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.128438,0.80135,1.00815,2.187,2.2155,-20.47875,1.1,6.456875,54.79688,84.94875,70.20563,76.88813,-0.1056654,0.02436732,-0.0003311978,335.1726,-87.58478,177.4292
1837,18/04/2024 12:07:38,750.0,753.0,4.5625,53.82813,3.5275,6.618125,0.0,1.612518,47.2,49.1,0.0,0.0,5.3125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.375625,0.80135,1.00815,2.187,2.214,-20.47875,0.87375,6.62875,54.60938,84.94875,70.20563,76.88813,-0.05202766,0.01229049,0.06420571,333.8573,-87.87152,178.9418
1838,18/04/2024 12:07:39,750.0,748.0,4.171875,54.03125,3.535625,6.213125,0.0,-0.7124634,47.2,49.3,0.0,0.0,5.28125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.347188,0.80135,1.00815,2.187,2.214,-20.47875,1.021875,6.26125,54.60938,84.94875,70.20563,76.88813,0.0143866,0.01898106,0.02079238,326.8535,-88.12574,-173.7771
1839,18/04/2024 12:07:40,750.0,750.0,4.171875,54.03125,3.535625,6.213125,0.0,-0.7124634,47.6,49.1,0.0,0.0,5.28125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.347188,0.80135,1.00815,2.187,2.214,-20.47875,1.021875,6.26125,54.60938,84.94875,70.20563,76.88813,0.0143866,0.01898106,0.02079238,326.8535,-88.12574,-173.7771
